field_1,field_2,field_3,field_4,field_5,id,n,distance,feature_x,feature_y,nearest_x,nearest_y
true,81835,0,12.279977000000001,44.526417000000002,,1,0.000000168508503,12.279977000000001,44.526417000000002,12.279977045589071,44.526416837775614
true,82277,0,12.398728999999999,44.540768000000000,,1,0.000176222456207,12.398728999999999,44.540768000000000,12.398668777153601,44.540933612689258
true,82278,0,12.408832000000000,44.544288999999999,,1,0.000319842848461,12.408832000000000,44.544288999999999,12.408722695844620,44.544589586176208
true,82280,0,12.419330000000000,44.548447000000003,,1,0.000000177157868,12.419330000000000,44.548447000000003,12.419330067510481,44.548446836209749
true,82313,0,12.467772999999999,44.562854999999999,,1,0.000000330261191,12.467772999999999,44.562854999999999,12.467773080456606,44.562854679688918
true,82314,0,12.483312000000000,44.567360000000001,,1,0.000000023834600,12.483312000000000,44.567360000000001,12.483311993158257,44.567360022831529
true,82324,0,12.499608000000000,44.572163000000003,,1,0.000076938445958,12.499608000000000,44.572163000000003,12.499585914747769,44.572236700516285
true,82334,0,12.516601000000000,44.577334999999998,,1,0.000000466209779,12.516601000000000,44.577334999999998,12.516600850222648,44.577335441495528
true,82386,0,12.534459000000000,44.583336000000003,,1,0.000054753492465,12.534459000000000,44.583336000000003,12.534441409564447,44.583387850954807
true,82403,0,12.553437000000001,44.589694999999999,,1,0.000129836635801,12.553437000000001,44.589694999999999,12.553395287903262,44.589817953865257
true,82417,0,12.573283999999999,44.596564999999998,,1,0.000000188557349,12.573283999999999,44.596564999999998,12.573283939422934,44.596565178561733
true,82557,0,12.594275000000000,44.603938999999997,,1,0.000056542493930,12.594275000000000,44.603938999999997,12.594256124636521,44.603992298914370
true,82602,0,12.616501000000000,44.611804999999997,,1,0.000061398456260,12.616501000000000,44.611804999999997,12.616480503589276,44.611862876312763
true,82629,0,12.639832000000000,44.620131999999998,,1,0.000000643506023,12.639832000000000,44.620131999999998,12.639831539999999,44.620132450000000
true,82871,0,12.325568000000001,44.529335000000003,,1,0.000191319046592,12.325568000000001,44.529335000000003,12.325568427886326,44.529143681431897
true,82872,0,12.332312000000000,44.529342999999997,,1,0.000184236025538,12.332312000000000,44.529342999999997,12.332312412045102,44.529158764435230
true,83142,0,12.339482000000000,44.529175000000002,,1,0.000000200692822,12.339482000000000,44.529175000000002,12.339482000448852,44.529174799307683
true,83543,0,12.346931000000000,44.529204999999997,,1,0.000045661983134,12.346931000000000,44.529204999999997,12.346930534960231,44.529250659614995
true,83579,0,12.380632000000000,44.534408999999997,,1,0.000017877877909,12.380632000000000,44.534408999999997,12.380638083886232,44.534392189144967
true,83611,0,12.440557999999999,44.556018999999999,,1,0.000000287728202,12.440557999999999,44.556018999999999,12.440558083694899,44.556018724713454
true,84048,0,12.301608000000000,44.527805000000001,,1,0.000000328568399,12.301608000000000,44.527805000000001,12.301607994917701,44.527805328529091
true,84148,0,12.296137000000000,44.527549999999998,,1,0.000170672554868,12.296137000000000,44.527549999999998,12.296134360034484,44.527720652136139
true,84482,0,12.291251000000001,44.527645000000000,,1,0.000000109330097,12.291251000000001,44.527645000000000,12.291250999593570,44.527645109329342
true,84711,0,12.372197999999999,44.531337999999998,,1,0.000000277664878,12.372197999999999,44.531337999999998,12.372198078504184,44.531337733663975
true,84778,0,12.312972000000000,44.528666999999999,,1,0.000002366547470,12.312972000000000,44.528666999999999,12.312971820579843,44.528669359736291
true,85957,0,12.286121000000000,44.527625999999998,,1,0.000000001461236,12.286121000000000,44.527625999999998,12.286121000162758,44.527625998547855
true,86297,0,12.307233999999999,44.528069000000002,,1,0.000163618094206,12.307233999999999,44.528069000000002,12.307221595269286,44.528232147183267
true,86484,0,12.363851000000000,44.528877000000001,,1,0.000000365311173,12.363851000000000,44.528877000000001,12.363850896715581,44.528877350406312
true,86820,0,12.319017000000001,44.529128999999998,,1,0.000000001170556,12.319017000000001,44.529128999999998,12.319017000088746,44.529128998832810
true,87078,0,12.389400000000000,44.537562999999999,,1,0.000000137555934,12.389400000000000,44.537562999999999,12.389399953189375,44.537563129346047
true,87131,0,12.354839000000000,44.529330999999999,,1,0.000000206730106,12.354839000000000,44.529330999999999,12.354838997894579,44.529331206719384
true,87177,0,12.453336000000000,44.559134999999998,,1,0.000090522689230,12.453336000000000,44.559134999999998,12.453313947307983,44.559222795421519
true,87247,0,12.429667000000000,44.552708000000003,,1,0.000000484204903,12.429667000000000,44.552708000000003,12.429667184518513,44.552707552331256
true,87576,0,12.283058000000000,44.527282999999997,,1,0.000000325177736,12.283058000000000,44.527282999999997,12.283058087975087,44.527282686948965
true,88786,0,12.273940000000000,44.526215000000001,,1,0.000000409999998,12.273940000000000,44.526215000000001,12.273940090000000,44.526214600000003
true,88791,0,12.276327000000000,44.527045999999999,,1,0.000751037634755,12.276327000000000,44.527045999999999,12.276352139305043,44.526295383224166
