field_1,field_2,field_3,field_4,field_5,id,n,distance,feature_x,feature_y,nearest_x,nearest_y
true,81665,0,12.473271000000000,44.144374999999997,,1,0.000775539653882,12.473271000000000,44.144374999999997,12.473476778663224,44.143627258803789
true,81666,0,12.470221000000000,44.143329999999999,,1,0.000000366443304,12.470221000000000,44.143329999999999,12.470221011396285,44.143329633733948
true,81670,0,12.472671999999999,44.143405999999999,,1,0.000000104262340,12.472671999999999,44.143405999999999,12.472672003242529,44.143405895788099
true,81671,0,12.474050999999999,44.142960000000002,,1,0.000795703214024,12.474050999999999,44.142960000000002,12.473839871216468,44.143727182013329
true,82221,0,12.652025000000000,44.404761999999998,,1,0.000000030140399,12.652025000000000,44.404761999999998,12.652025024925861,44.404761983054641
true,82226,0,12.663383000000000,44.421680000000002,,1,0.000000147689219,12.663383000000000,44.421680000000002,12.663383122618365,44.421679917678425
true,82228,0,12.640696999999999,44.388100000000001,,1,0.000000581234007,12.640696999999999,44.388100000000001,12.640697456272482,44.388099639932797
true,82528,0,12.526128999999999,44.192326000000001,,1,0.000000070887253,12.526128999999999,44.192326000000001,12.526129055887278,44.192325956392494
true,82529,0,12.522703000000000,44.186191999999998,,1,0.000000362957946,12.522703000000000,44.186191999999998,12.522703316891045,44.186191823029560
true,83365,0,12.577724000000000,44.278632999999999,,1,0.000322406268547,12.577724000000000,44.278632999999999,12.577423623349590,44.278750130994560
true,83366,0,12.573069000000000,44.267581999999997,,1,0.000000332236926,12.573069000000000,44.267581999999997,12.573068690464408,44.267582120702500
true,83498,0,12.567683000000001,44.256729000000000,,1,0.000035252712195,12.567683000000001,44.256729000000000,12.567651467344202,44.256744762148813
true,83585,0,12.562282000000000,44.246001999999997,,1,0.000000438239417,12.562282000000000,44.246001999999997,12.562281606992061,44.246002193903443
true,83737,0,12.607588000000000,44.324612000000002,,1,0.000142152635336,12.607588000000000,44.324612000000002,12.607460466313462,44.324674789573429
true,84169,0,12.475704000000000,44.145428000000003,,1,0.000000355105621,12.475704000000000,44.145428000000003,12.475704190000000,44.145427699999999
true,84177,0,12.541626000000001,44.211711999999999,,1,0.000092934755454,12.541626000000001,44.211711999999999,12.541554061592757,44.211770836505117
true,84372,0,12.614288000000000,44.339092000000001,,1,0.000242766879625,12.614288000000000,44.339092000000001,12.614505800781917,44.338984768580914
true,84376,0,12.479248000000000,44.145977000000002,,1,0.000000012105126,12.479248000000000,44.145977000000002,12.479247998145773,44.145977011962273
true,84378,0,12.483038000000001,44.147663000000001,,1,0.000000129631180,12.483038000000001,44.147663000000001,12.483037959290476,44.147663123073059
true,84494,0,12.487946000000001,44.152126000000003,,1,0.000000425449486,12.487946000000001,44.152126000000003,12.487945875177241,44.152126406726623
true,84497,0,12.504977999999999,44.167873000000000,,1,0.000000093306559,12.504977999999999,44.167873000000000,12.504977926641418,44.167873057659627
true,84498,0,12.501650000000000,44.163466999999997,,1,0.000106312664503,12.501650000000000,44.163466999999997,12.501566415885113,44.163532696867293
true,84865,0,12.492371000000000,44.153483999999999,,1,0.000000430291914,12.492371000000000,44.153483999999999,12.492370887279659,44.153484415265282
true,84869,0,12.547343000000000,44.218848999999999,,1,0.000000079561525,12.547343000000000,44.218848999999999,12.547343061586531,44.218848949630015
true,84887,0,12.621821000000001,44.353844000000002,,1,0.000000476011626,12.621821000000001,44.353844000000002,12.621821452890526,44.353843853448851
true,84944,0,12.507902000000000,44.172344000000002,,1,0.000090793641222,12.507902000000000,44.172344000000002,12.507825180422985,44.172392396672137
true,85068,0,12.497218999999999,44.154800000000002,,1,0.000000381756155,12.497218999999999,44.154800000000002,12.497218899994204,44.154800368424489
true,85672,0,12.509912999999999,44.176552000000001,,1,0.000450753391212,12.509912999999999,44.176552000000001,12.510294377862863,44.176311730265311
true,85708,0,12.552823999999999,44.226832999999999,,1,0.000000175932051,12.552823999999999,44.226832999999999,12.552823854953919,44.226833099567671
true,85994,0,12.627490999999999,44.371364999999997,,1,0.000000253989873,12.627490999999999,44.371364999999997,12.627491199383705,44.371364842656448
true,86115,0,12.557506000000000,44.235934999999998,,1,0.000171623308808,12.557506000000000,44.235934999999998,12.557352090240895,44.236010936461454
true,86159,0,12.600972000000001,44.310668999999997,,1,0.000365237857131,12.600972000000001,44.310668999999997,12.600644323131593,44.310830327499801
true,86160,0,12.593389999999999,44.296097000000003,,1,0.000000413174664,12.593389999999999,44.296097000000003,12.593390218705322,44.296096649455734
true,86275,0,12.498148000000000,44.159184000000003,,1,0.000000277531089,12.498148000000000,44.159184000000003,12.498148218197809,44.159183828497170
true,87188,0,12.530752000000000,44.198658000000002,,1,0.000250550661700,12.530752000000000,44.198658000000002,12.530949533330274,44.198503869478984
true,87548,0,12.486890000000001,44.148936999999997,,1,0.000000280178519,12.486890000000001,44.148936999999997,12.486889840000000,44.148937230000001
true,87779,0,12.536058000000001,44.205050999999997,,1,0.000000080640430,12.536058000000001,44.205050999999997,12.536058063576656,44.205050950392661
true,87860,0,12.475057000000000,44.144061999999998,,1,0.000000333387596,12.475057000000000,44.144061999999998,12.475056698760371,44.144062142835480
true,87870,0,12.581229000000000,44.288508999999998,,1,0.000000061229045,12.581229000000000,44.288508999999998,12.581229057045341,44.288508977755335
true,88143,0,12.515783000000001,44.185023999999999,,1,0.000000123697361,12.515783000000001,44.185023999999999,12.515783104659082,44.185023934064318
true,88187,0,12.512656000000000,44.180607000000002,,1,0.000291407493764,12.512656000000000,44.180607000000002,12.512902556918617,44.180451668054467
