field_1,Node,field_3,field_4,field_5,id,n,distance,feature_x,feature_y,nearest_x,nearest_y
true,70,0,12.136932000000000,45.019852000000000,,1,0.000000340322786,12.136932000000000,45.019852000000000,12.136932019159527,45.019851660216965
true,135,0,12.104547999999999,45.019607999999998,,1,0.000000525803482,12.104547999999999,45.019607999999998,12.104548083750119,45.019607480909237
true,139,0,12.079478000000000,44.980922999999997,,1,0.000000381442024,12.079478000000000,44.980922999999997,12.079478160157803,44.980922653810026
true,149,0,12.070408000000000,45.003543999999998,,1,0.000000194522744,12.070408000000000,45.003543999999998,12.070407845891610,45.003543881299947
true,151,0,12.118292000000000,45.018414000000000,,1,0.000000482260238,12.118292000000000,45.018414000000000,12.118291887984034,45.018413530929259
true,152,0,12.071073999999999,45.012332999999998,,1,0.000000260326529,12.071073999999999,45.012332999999998,12.071073823272933,45.012333191147704
true,155,0,12.122795000000000,45.018344999999997,,1,0.000000141410217,12.122795000000000,45.018344999999997,12.122795035806192,45.018344863198074
true,157,0,12.067318999999999,44.977966000000002,,1,0.000046200030766,12.067318999999999,44.977966000000002,12.067314882300026,44.978012016164442
true,160,0,12.089231000000000,45.020221999999997,,1,0.000000319757485,12.089231000000000,45.020221999999997,12.089230978874401,45.020221680941134
true,164,0,12.077590000000001,44.980049000000001,,1,0.000000124156884,12.077590000000001,44.980049000000001,12.077589953132687,44.980049114971251
true,165,0,12.087653000000000,45.019191999999997,,1,0.000000290930428,12.087653000000000,45.019191999999997,12.087653070217618,45.019191717670402
true,166,0,12.071424000000000,45.002243000000000,,1,0.000000253830150,12.071424000000000,45.002243000000000,12.071423845758664,45.002242798407948
true,169,0,12.069656000000000,45.008518000000002,,1,0.000000288231903,12.069656000000000,45.008518000000002,12.069656275297580,45.008517914625109
true,170,0,12.094760000000001,45.019526999999997,,1,0.000000436658412,12.094760000000001,45.019526999999997,12.094760020713917,45.019527436166825
true,171,0,12.061987000000000,44.977535000000003,,1,0.000000256135250,12.061987000000000,44.977535000000003,12.061986977171269,44.977535255115889
true,172,0,12.081072000000001,44.994461000000001,,1,0.000000075857348,12.081072000000001,44.994461000000001,12.081071942055175,44.994460951043550
true,173,0,12.083553999999999,44.984493000000001,,1,0.000010303576494,12.083553999999999,44.984493000000001,12.083545123568683,44.984498231888345
true,176,0,12.084663000000001,44.986572000000002,,1,0.000069177546598,12.084663000000001,44.986572000000002,12.084598459420638,44.986596900734305
true,178,0,12.055272000000000,44.977428000000003,,1,0.000000000000000,12.055272000000000,44.977428000000003,12.055272000000000,44.977428000000003
true,180,0,12.075963000000000,44.998733999999999,,1,0.000036907944346,12.075963000000000,44.998733999999999,12.075939899075015,44.998705215566346
true,182,0,12.069283000000000,45.005004999999997,,1,0.000000445577454,12.069283000000000,45.005004999999997,12.069282646996426,45.005004728103430
true,184,0,12.071961999999999,44.978428000000001,,1,0.000000141648186,12.071961999999999,44.978428000000001,12.071962012624768,44.978427858915545
true,185,0,12.073847000000001,44.978523000000003,,1,0.000000299451197,12.073847000000001,44.978523000000003,12.073846886961782,44.978523277296560
true,186,0,12.128117000000000,45.018036000000002,,1,0.000000066714908,12.128117000000000,45.018036000000002,12.128117007291783,45.018035933684779
true,187,0,12.069680000000000,44.978245000000001,,1,0.000021259236885,12.069680000000000,44.978245000000001,12.069681894785733,44.978223825370371
true,189,0,12.085101000000000,44.987900000000003,,1,0.000000050521683,12.085101000000000,44.987900000000003,12.085100962444514,44.987899966206129
true,191,0,12.120784000000000,45.017817999999998,,1,0.000000483444855,12.120784000000000,45.017817999999998,12.120783877587916,45.017818467690290
true,192,0,12.099607000000001,45.019359999999999,,1,0.000040122754030,12.099607000000001,45.019359999999999,12.099605467704050,45.019319906515989
true,195,0,12.083036000000000,45.018044000000003,,1,0.000000586651610,12.083036000000000,45.018044000000003,12.083036182080409,45.018043442320135
true,198,0,12.102160000000000,45.019221999999999,,1,0.000000276995920,12.102160000000000,45.019221999999999,12.102160010578528,45.019222276793847
true,204,0,12.125432999999999,45.018130999999997,,1,0.000000258770521,12.125432999999999,45.018130999999997,12.125433009190269,45.018131258607269
true,206,0,12.106847000000000,45.020663999999996,,1,0.000000202425926,12.106847000000000,45.020663999999996,12.106847017814044,45.020664201640557
true,207,0,12.064648000000000,44.977848000000002,,1,0.000074329525895,12.064648000000000,44.977848000000002,12.064654624815647,44.977773966289853
true,208,0,12.116014000000000,45.018970000000003,,1,0.000000364376071,12.116014000000000,45.018970000000003,12.116014086526231,45.018970353953577
true,209,0,12.085248000000000,45.018593000000003,,1,0.000000541073134,12.085248000000000,45.018593000000003,12.085247869409098,45.018593525077286
true,210,0,12.074862000000000,45.015296999999997,,1,0.000000132853872,12.074862000000000,45.015296999999997,12.074861946900011,45.015297121780712
true,211,0,12.077709000000000,44.997356000000003,,1,0.000055041315408,12.077709000000000,44.997356000000003,12.077674549278866,44.997313073385705
true,212,0,12.076121000000001,45.015846000000003,,1,0.000000097266127,12.076121000000001,45.015846000000003,12.076120961123976,45.015846089159155
true,214,0,12.091989999999999,45.020038999999997,,1,0.000000000000000,12.091989999999999,45.020038999999997,12.091989999999999,45.020038999999997
true,220,0,12.111048000000000,45.020541999999999,,1,0.000000061688321,12.111048000000000,45.020541999999999,12.111048017254618,45.020542059226067
true,221,0,12.073741999999999,45.000469000000002,,1,0.000000107446987,12.073741999999999,45.000469000000002,12.073742067251777,45.000469083797697
true,226,0,12.075532000000001,44.979244000000001,,1,0.000031296410143,12.075532000000001,44.979244000000001,12.075543813913248,44.979215019027947
true,228,0,12.083157000000000,44.991836999999997,,1,0.000000595754509,12.083157000000000,44.991836999999997,12.083156516769961,44.991836651557513
true,233,0,12.059502000000000,44.977286999999997,,1,0.000072042246811,12.059502000000000,44.977286999999997,12.059511226571798,44.977215551027307
true,234,0,12.083653000000000,44.990738000000000,,1,0.000000377052326,12.083653000000000,44.990738000000000,12.083653343551717,44.990738155372696
true,236,0,12.134767999999999,45.019730000000003,,1,0.000000362921358,12.134767999999999,45.019730000000003,12.134768020431785,45.019729637654237
true,237,0,12.113811000000000,45.019736999999999,,1,0.000000075457352,12.113811000000000,45.019736999999999,12.113811024803512,45.019737071264281
true,240,0,12.078011999999999,45.016533000000003,,1,0.000088445695770,12.078011999999999,45.016533000000003,12.078038511500180,45.016448621202557
