field_1,field_2,field_3,field_4,field_5,id,n,distance,feature_x,feature_y,nearest_x,nearest_y
true,81507,0,12.315398999999999,44.393054999999997,,1,0.000000096344177,12.315398999999999,44.393054999999997,12.315399033331859,44.393054909605375
true,81508,0,12.312068000000000,44.391826999999999,,1,0.000000343691676,12.312068000000000,44.391826999999999,12.312068118905813,44.391826677532372
true,81514,0,12.312661000000000,44.391449000000001,,1,0.000559471768463,12.312661000000000,44.391449000000001,12.312467441497555,44.391973922628431
true,81515,0,12.316051000000000,44.392631999999999,,1,0.000667358039954,12.316051000000000,44.392631999999999,12.315756256918869,44.393230743074795
true,82442,0,12.422179000000000,44.425643999999998,,1,0.000190888032997,12.422179000000000,44.425643999999998,12.422123440680188,44.425826623665287
true,82443,0,12.412255999999999,44.422569000000003,,1,0.000244598263544,12.412255999999999,44.422569000000003,12.412184807935539,44.422803008547895
true,82509,0,12.402564000000000,44.419876000000002,,1,0.000000087075643,12.402564000000000,44.419876000000002,12.402563981477661,44.419876085082848
true,83346,0,12.343381000000001,44.398173999999997,,1,0.000103330482149,12.343381000000001,44.398173999999997,12.343354227862221,44.398273802009896
true,83413,0,12.530734000000001,44.457596000000002,,1,0.000000141034537,12.530734000000001,44.457596000000002,12.530734119560554,44.457595925193488
true,83414,0,12.512302000000000,44.456581000000000,,1,0.000000247087599,12.512302000000000,44.456581000000000,12.512302197267179,44.456580851211754
true,83545,0,12.338333000000000,44.396926999999998,,1,0.000000146605390,12.338333000000000,44.396926999999998,12.338333033607533,44.396926857298659
true,83595,0,12.432468999999999,44.428973999999997,,1,0.000000035814728,12.432468999999999,44.428973999999997,12.432468989575868,44.428974034264151
true,83782,0,12.348273000000001,44.399593000000003,,1,0.000000265502535,12.348273000000001,44.399593000000003,12.348272931210325,44.399593256436305
true,83909,0,12.614910000000000,44.500565000000002,,1,0.000000331646301,12.614910000000000,44.500565000000002,12.614910281961349,44.500564825394541
true,83910,0,12.624879000000000,44.516663000000001,,1,0.000000417612265,12.624879000000000,44.516663000000001,12.624878880000001,44.516662599999997
true,84059,0,12.333475999999999,44.395522999999997,,1,0.000253056261138,12.333475999999999,44.395522999999997,12.333417989878479,44.395769317472173
true,84421,0,12.378220000000001,44.411327000000000,,1,0.000000491449214,12.378220000000001,44.411327000000000,12.378219800359204,44.411327449072246
true,84422,0,12.371499999999999,44.408867000000001,,1,0.000015045582945,12.371499999999999,44.408867000000001,12.371505202730964,44.408852882593841
true,84448,0,12.479747000000000,44.436207000000003,,1,0.000000178602771,12.479747000000000,44.436207000000003,12.479747001381043,44.436206821402571
true,84449,0,12.465121000000000,44.435550999999997,,1,0.000000337288583,12.465121000000000,44.435550999999997,12.465121036344131,44.435550664675240
true,84544,0,12.328955000000001,44.394717999999997,,1,0.000000234244377,12.328955000000001,44.394717999999997,12.328954946302279,44.394718228006539
true,84676,0,12.364895000000001,44.406478999999997,,1,0.000058358767267,12.364895000000001,44.406478999999997,12.364915180339080,44.406424241442387
true,84728,0,12.385251999999999,44.413924999999999,,1,0.000483113834691,12.385251999999999,44.413924999999999,12.385055745273361,44.414366455614463
true,84871,0,12.320793000000000,44.393619999999999,,1,0.000000450299089,12.320793000000000,44.393619999999999,12.320792973306396,44.393619550492801
true,85259,0,12.495039000000000,44.436324999999997,,1,0.000000070710684,12.495039000000000,44.436324999999997,12.495038989999999,44.436325070000002
true,85341,0,12.451712000000001,44.434097000000001,,1,0.000000326025341,12.451712000000001,44.434097000000001,12.451711964869526,44.434097324127094
true,85717,0,12.358532000000000,44.404071999999999,,1,0.000000160988823,12.358532000000000,44.404071999999999,12.358532055669595,44.404071848942735
true,86136,0,12.317003000000000,44.393844999999999,,1,0.000000469287818,12.317003000000000,44.393844999999999,12.317003207264062,44.393844578962394
true,86508,0,12.353073000000000,44.401637999999998,,1,0.000046451895001,12.353073000000000,44.401637999999998,12.353054415026431,44.401680572024929
true,86835,0,12.538207000000000,44.469540000000002,,1,0.000000363455638,12.538207000000000,44.469540000000002,12.538207050000000,44.469539640000001
true,86892,0,12.504004000000000,44.445580000000000,,1,0.000000666236272,12.504004000000000,44.445580000000000,12.504004531902654,44.445579598813843
true,87015,0,12.592013000000000,44.497551000000001,,1,0.000000326203677,12.592013000000000,44.497551000000001,12.592013276316491,44.497550826627467
true,87184,0,12.392541000000000,44.417693999999997,,1,0.000000102830360,12.392541000000000,44.417693999999997,12.392540978126391,44.417694100477000
true,87409,0,12.583069000000000,44.483294999999998,,1,0.000000408253107,12.583069000000000,44.483294999999998,12.583068699502382,44.483295276354447
true,87922,0,12.556767000000001,44.471260000000001,,1,0.000000027244183,12.556767000000001,44.471260000000001,12.556766997485420,44.471260027127890
true,87991,0,12.324814000000000,44.394249000000002,,1,0.000087423036012,12.324814000000000,44.394249000000002,12.324825662864061,44.394162358411677
true,88059,0,12.441131000000000,44.432513999999998,,1,0.000000241177682,12.441131000000000,44.432513999999998,12.441130964312917,44.432514238522757
true,88460,0,12.573779000000000,44.473193999999999,,1,0.000000106806097,12.573779000000000,44.473193999999999,12.573778987934965,44.473194106122463
